UID,Versuchsjahr,ParzNrFeld,Probe,Datum,LAP,NAG,GLS,MUP,MUX,Comments,NH4,NO3,S,Plot_Label,WiederholungNr,Kultur,Verfahren,SaatTag_DOY,SaatTag_Date,Total_N_fert_kg_ha,Total_Ertrag_HP_TS_kg_a,Total_N_Entzug_kg_ha,Total_P_Entzug_kg_ha,Total_OS_Prod_kg_ha,t2,t1,Nmin_Total,Delta_Nmin,Cum_Precip_mm,Cum_GDD_Interval,Cum_GDD_t1,Cum_GDD_t2,N_up_t1,N_up_t2,Interval_N_Entzug_kg_ha,LTE,date,year,plot_nr,treatment,crop,rep,Ntot,delta_nmin,yield,yield_type,yield_unit
2025_12,2025,12,A,2025-08-07,0,2.8079,19.1519,51.7312,1.6563,NA,0.01,0.2,NA,NA,NA,NA,Null,129.66666666666666,2025-05-09,NA,NA,83.46134273713884,NA,NA,2025-08-07,2025-07-10,0.21000000000000002,-0.5900000000000001,162.4,337.8,763,1100.8,44.97907863583202,82.23989054682377,37.260811910991755,DEMO,2025-08-07,2025,12,Null,NA,A,0.21000000000000002,-0.5900000000000001,NA,total_hp_ts,kg/a
2025_12,2025,12,A,2025-09-11,0,8.6409,24.3542,58.6685,12.7901,NA,0.3,0.2,NA,NA,NA,NA,Null,129.66666666666666,2025-05-09,NA,NA,83.46134273713884,NA,NA,2025-09-11,2025-08-07,0.5,0.29,173.4,451.6,1100.8,1552.4,82.23989054682377,83.45585084395337,1.2159602971295982,DEMO,2025-09-11,2025,12,Null,NA,A,0.5,0.29,NA,total_hp_ts,kg/a
2025_12,2025,12,B,2025-05-15,0,4.3757,10.4645,41.4323,1.5342,NA,0.17,1.32,0.38,NA,NA,NA,Null,129.66666666666666,2025-05-09,NA,NA,83.46134273713884,NA,NA,2025-05-15,2025-05-09,1.49,NA,1.9,45.2,0,45.2,0.010298676998290807,0.01771349155552494,0.007414814557234133,DEMO,2025-05-15,2025,12,Null,NA,B,1.49,NA,NA,total_hp_ts,kg/a
2025_12,2025,12,B,2025-06-12,0,3.6693,15.4025,34.2567,2.9353,Well C4_MUP is contaminated. Well D4_MUP is contaminated.,0.01,1.05,NA,NA,NA,NA,Null,129.66666666666666,2025-05-09,NA,NA,83.46134273713884,NA,NA,2025-06-12,2025-05-15,1.06,-0.42999999999999994,130.6,267.7,45.2,312.90000000000003,0.01771349155552494,0.4377639892118852,0.42005049765636027,DEMO,2025-06-12,2025,12,Null,NA,B,1.06,-0.42999999999999994,NA,total_hp_ts,kg/a
2025_12,2025,12,B,2025-07-10,0,4.9244,15.7854,40.9088,2.2088,NA,0.05,0.53,NA,NA,NA,NA,Null,129.66666666666666,2025-05-09,NA,NA,83.46134273713884,NA,NA,2025-07-10,2025-06-12,0.5800000000000001,-0.48,64.3,450.1,312.90000000000003,763,0.4377639892118852,44.97907863583202,44.54131464662013,DEMO,2025-07-10,2025,12,Null,NA,B,0.5800000000000001,-0.48,NA,total_hp_ts,kg/a
2025_12,2025,12,B,2025-08-07,0,7.8078,18.5388,69.4245,3.4347,NA,0.01,0.13,NA,NA,NA,NA,Null,129.66666666666666,2025-05-09,NA,NA,83.46134273713884,NA,NA,2025-08-07,2025-07-10,0.14,-0.44000000000000006,162.4,337.8,763,1100.8,44.97907863583202,82.23989054682377,37.260811910991755,DEMO,2025-08-07,2025,12,Null,NA,B,0.14,-0.44000000000000006,NA,total_hp_ts,kg/a
2025_12,2025,12,B,2025-09-11,NA,NA,NA,NA,NA,"Image alignment failed. EMPTY FOLDER POSSILBLE UPLOAD ERROR, TRY AGAIN",0.3,0.09,NA,NA,NA,NA,Null,129.66666666666666,2025-05-09,NA,NA,83.46134273713884,NA,NA,2025-09-11,2025-08-07,0.39,0.25,173.4,451.6,1100.8,1552.4,82.23989054682377,83.45585084395337,1.2159602971295982,DEMO,2025-09-11,2025,12,Null,NA,B,0.39,0.25,NA,total_hp_ts,kg/a
2025_13,2025,13,A,2025-05-15,0,4.2953,16.9161,57.8241,3.0476,NA,0.16,1.72,0.29,NA,NA,NA,"St,mist",129.66666666666666,2025-05-09,NA,NA,115.46794607438636,NA,NA,2025-05-15,2025-05-09,1.88,NA,1.9,45.2,0,45.2,0.014248118245849975,0.02450644119355045,0.010258322947700476,DEMO,2025-05-15,2025,13,"St,mist",NA,A,1.88,NA,NA,total_hp_ts,kg/a
2025_13,2025,13,A,2025-06-12,0,4.2784,23.2586,48.9213,4.0424,Well D3_GLS is contaminated.,0.05,1.12,NA,NA,NA,NA,"St,mist",129.66666666666666,2025-05-09,NA,NA,115.46794607438636,NA,NA,2025-06-12,2025-05-15,1.1700000000000002,-0.7099999999999997,130.6,267.7,45.2,312.90000000000003,0.02450644119355045,0.6056421696787939,0.5811357284852434,DEMO,2025-06-12,2025,13,"St,mist",NA,A,1.1700000000000002,-0.7099999999999997,NA,total_hp_ts,kg/a
2025_13,2025,13,A,2025-07-10,0,6.5194,15.2819,58.9667,3.7946,NA,0.12,0.5,NA,NA,NA,NA,"St,mist",129.66666666666666,2025-05-09,NA,NA,115.46794607438636,NA,NA,2025-07-10,2025-06-12,0.62,-0.5500000000000002,64.3,450.1,312.90000000000003,763,0.6056421696787939,62.228112513780054,61.62247034410126,DEMO,2025-07-10,2025,13,"St,mist",NA,A,0.62,-0.5500000000000002,NA,total_hp_ts,kg/a
