BOB,ID,Site,Crop,Year,PLZ,Date,Treatment,Depth,Rep,LAP,NAG,GLS,MUP,MUX,date,year,plot_nr,crop,treatment,depth,rep,NH4,NO3,Ntot,yield,yield_type,yield_unit,LTE
BOB_09,699KM251562T2ueblich30,699,KM,25,1562,T2,ueblich,30,NA,229.484,54.123,298.761,624.173,79.274,T2,25,699,KM,ueblich,30,NA,0,20.5,162.7,147.1,grain,dt/ha,Fields25
BOB_05,699KM251562T3null30,699,KM,25,1562,T3,null,30,NA,NA,29.112,227.853,415.171,40.435,T3,25,699,KM,null,30,NA,0.2,7.4,49,NA,NA,NA,Fields25
BOB_05,669KM251562T3null60,669,KM,25,1562,T3,null,60,NA,123.926,32.081,84.462,445.147,47.678,T3,25,669,KM,null,60,NA,NA,NA,NA,NA,NA,NA,Fields25
BOB_06,699KM251562T3empfohlen30,699,KM,25,1562,T3,empfohlen,30,NA,163.716,4.735,8.506,406.112,52.593,T3,25,699,KM,empfohlen,30,NA,0,22.8,112.3,138.8,grain,dt/ha,Fields25
BOB_06,699KM251562T3ueblich30,699,KM,25,1562,T3,ueblich,30,NA,NA,36.969,72.935,406.675,20.668,T3,25,699,KM,ueblich,30,NA,0,24.7,153.7,147.1,grain,dt/ha,Fields25
BOB_09,699KM251562T3empfohlen60,699,KM,25,1562,T3,empfohlen,60,NA,NA,25.737,71.384,30.502,NA,T3,25,699,KM,empfohlen,60,NA,0,7.3,112.3,138.8,grain,dt/ha,Fields25
BOB_09,699KM251562T3ueblich60,699,KM,25,1562,T3,ueblich,60,NA,28.518,45.904,126.667,499.912,47.869,T3,25,699,KM,ueblich,60,NA,0,17.2,153.7,147.1,grain,dt/ha,Fields25
BOB_05,700KM258617T1null30,700,KM,25,8617,T1,null,30,NA,NA,48.765,211.944,709.161,42.975,T1,25,700,KM,null,30,NA,0.9,30.4,145,NA,NA,NA,Fields25
BOB_05,700KM258617T1ueblich60,700,KM,25,8617,T1,ueblich,60,NA,NA,36.146,7.399,462.708,24.557,T1,25,700,KM,ueblich,60,NA,1.8,15.8,212,NA,silo,dt/ha,Fields25
BOB_06,700KM258617T1empfohlen30,700,KM,25,8617,T1,empfohlen,30,NA,NA,52.636,273.396,519.497,40.431,T1,25,700,KM,empfohlen,30,NA,1.5,30,118.1,NA,silo,dt/ha,Fields25
BOB_06,700KM258617T1null60,700,KM,25,8617,T1,null,60,NA,NA,24.004,NA,522.662,18.094,T1,25,700,KM,null,60,NA,1.5,10.5,145,NA,NA,NA,Fields25
BOB_09,700KM258617T1empfohlen60,700,KM,25,8617,T1,empfohlen,60,NA,NA,33.127,72.767,496.532,30.646,T1,25,700,KM,empfohlen,60,NA,1.3,10.5,118.1,NA,silo,dt/ha,Fields25
BOB_09,700KM258617T1ueblich30,700,KM,25,8617,T1,ueblich,30,NA,NA,61.537,251.303,689.695,4.622,T1,25,700,KM,ueblich,30,NA,1.4,44.1,212,NA,silo,dt/ha,Fields25
BOB_05,700KM258617T2null30,700,KM,25,8617,T2,null,30,NA,NA,33.331,103.978,666.692,22.667,T2,25,700,KM,null,30,NA,0.2,35.6,195.9,NA,NA,NA,Fields25
BOB_05,700KM258617T2ueblich60,700,KM,25,8617,T2,ueblich,60,NA,NA,20.121,54.234,312.655,19.766,T2,25,700,KM,ueblich,60,NA,0.9,22.1,263.3,NA,silo,dt/ha,Fields25
BOB_06,700KM258617T2empfohlen30,700,KM,25,8617,T2,empfohlen,30,NA,NA,64.171,299.758,764.462,43.152,T2,25,700,KM,empfohlen,30,NA,0.1,30.5,176.8,NA,silo,dt/ha,Fields25
BOB_06,700KM258617T2null60,700,KM,25,8617,T2,null,60,NA,NA,24.712,68.471,33.052,20.017,T2,25,700,KM,null,60,NA,0.3,15.5,195.9,NA,NA,NA,Fields25
BOB_09,700KM258617T2empfohlen60,700,KM,25,8617,T2,empfohlen,60,NA,NA,28.432,91.655,479.243,23.075,T2,25,700,KM,empfohlen,60,NA,0.6,15.3,176.8,NA,silo,dt/ha,Fields25
BOB_09,700KM258617T2ueblich30,700,KM,25,8617,T2,ueblich,30,NA,NA,42.671,254.794,445.447,28.265,T2,25,700,KM,ueblich,30,NA,0.5,45.8,263.3,NA,silo,dt/ha,Fields25
