project_sample_id;LEU (pmol min-1);GLA (pmol min-1);GLS  (pmol min-1);PHO (pmol min-1);XYL (pmol min-1);
BOB_09-698KM253206T2empfohlen60cm;<DL;104.706;192.148;666.965;38.984;
BOB_09-698KM253206T2ueblich30cm;<DL;125.046;41.01;668.436;68.487;
BOB_05-698KM253206T3empfohlen30cm;inv Enz;51.178;191.541;192.549;29.151;
BOB_05-698KM253206T3null60cm;<DL;<DL;124.875;749.868;27.704;
BOB_06-698KM253206T3ueblich30cm;<DL;63.953;283.514;654.852;20.301;
BOB_06-698KM253206T3ueblich60cm;inv Enz;<DL;<DL;329.493;49.745;
BOB_09-698KM253206T3empfohlen60cm;<DL;4.805;138.266;585.228;31.865;
BOB_09-698KM253206T3null30cm;<DL;<DL;184.357;563.923;17.761;
BOB_05-699KM251562T1null30cm;82.644;41.891;233.598;470.075;28.987;
BOB_05-699KM251562T1ueblich60cm;157.653;40.071;135.577;357.849;3.366;
BOB_06-699KM251562T1empfohlen30cm;132.315;87.097;227.936;687.467;47.025;
BOB_06-699KM251562T1null60cm;<DL;<DL;<DL;<DL;<DL;
BOB_09-699KM251562T1empfohlen60cm;206.497;49.815;118.565;60.071;45.279;
BOB_09-699KM251562T1ueblich30cm;210.109;10.262;220.133;772.731;69.948;
BOB_05-699KM251562T2null30cm;303.975;50.362;170.056;560.016;63.964;
BOB_05-699KM251562T2ueblich60cm;243.002;25.499;113.991;373.571;38.794;
BOB_06-699KM251562T2empfohlen30cm;197.335;7.736;301.599;657.293;57.503;
BOB_06-699KM251562T2null60cm;263.978;38.815;139.654;432.473;32.533;
BOB_09-699KM251562T2empfohlen60cm;146.026;36.916;140.134;354.333;48.087;
BOB_09-699KM251562T2ueblich30cm;229.484;54.123;298.761;624.173;79.274;
BOB_05-699KM251562T3null30cm;<DL;29.112;227.853;415.171;40.435;
BOB_05-6699KM251562T3null60cm;123.926;32.081;84.462;445.147;47.678;
BOB_06-699KM251562T3empfohlen30cm;163.716;4.735;8.506;406.112;52.593;
BOB_06-699KM251562T3ueblich30cm;<DL;36.969;72.935;406.675;20.668;
BOB_09-699KM251562T3empfohlen60cm;<DL;25.737;71.384;30.502;<DL;
BOB_09-699KM251562T3ueblich60cm;28.518;45.904;126.667;499.912;47.869;
BOB_05-700KM258617T1null30cm;<DL;48.765;211.944;709.161;42.975;
BOB_05-700KM258617T1ueblich60cm;<DL;36.146;7.399;462.708;24.557;
BOB_06-700KM258617T1empfohlen30cm;<DL;52.636;273.396;519.497;40.431;
BOB_06-700KM258617T1null60cm;<DL;24.004;Mai 24;522.662;18.094;
BOB_09-700KM258617T1empfohlen60cm;<DL;33.127;72.767;496.532;30.646;
BOB_09-700KM258617T1ueblich30cm;<DL;61.537;251.303;689.695;4.622;
BOB_05-700KM258617T2null30cm;<DL;33.331;103.978;666.692;22.667;
BOB_05-700KM258617T2ueblich60cm;<DL;20.121;54.234;312.655;19.766;
BOB_06-700KM258617T2empfohlen30cm;<DL;64.171;299.758;764.462;43.152;
BOB_06-700KM258617T2null60cm;<DL;24.712;68.471;33.052;20.017;
BOB_09-700KM258617T2empfohlen60cm;<DL;28.432;91.655;479.243;23.075;
BOB_09-700KM258617T2ueblich30cm;<DL;42.671;254.794;445.447;28.265;
BOB_05-700KM258617T3empfohlen30cm;<DL;54.252;185.608;635.415;64.873;
BOB_05-700KM258617T3empfohlen60cm;<DL;21.269;inv Enz;237.571;44.925;
BOB_06-700KM258617T3null30cm;<DL;30.685;183.747;711.219;36.266;
BOB_06-700KM258617T3ueblich60cm;<DL;inv Enz;235.782;479.668;56.631;
BOB_09-700KM258617T3null60cm;<DL;56.655;191.041;434.583;86.422;
BOB_09-700KM258617T3ueblich30cm;<DL;37.206;161.653;509.695;35.759;
BOB_05-701SM251485T1null30cm;<DL;114.369;37.042;791.843;100.529;
BOB_05-701SM251485T1ueblich60cm;<DL;45.637;102.897;524.233;21.683;
BOB_06-701SM251485T1empfohlen30cm;<DL;172.365;450.673;717.938;73.607;
BOB_06-701SM251485T1null60cm;<DL;68.245;9.468;497.197;46.394;
BOB_09-701SM251485T1empfohlen60cm;<DL;103.747;11.567;623.604;118.223;
BOB_09-701SM251485T1ueblich30cm;<DL;23.974;511.144;1.346.679;74.742;
BOB_05-701SM251485T2null30cm;<DL;90.588;365.506;1.064.435;50.684;
BOB_05-701SM251485T2ueblich60cm;<DL;65.811;151.857;709.785;33.379;
BOB_06-701SM251485T2empfohlen30cm;<DL;97.546;291.725;875.278;54.517;
BOB_06-701SM251485T2null60cm;<DL;42.121;149.755;642.286;26.908;
BOB_09-701SM251485T2empfohlen60cm;<DL;51.972;204.087;651.145;2.496;
BOB_09-701SM251485T2ueblich30cm;<DL;122.769;386.047;912.077;49.976;
BOB_05-701SM251485T3null30cm;<DL;109.292;498.447;986.052;48.834;
BOB_05-701SM251485T3ueblich30cm;<DL;91.234;279.351;90.397;47.898;
BOB_06-701SM251485T3empfohlen60cm;<DL;42.694;146.124;719.673;33.255;
BOB_06-701SM251485T3ueblich60cm;<DL;32.585;120.584;680.467;22.759;
BOB_09-701SM251485T3empfohlen30cm;<DL;7.246;338.774;85.3;38.702;
BOB_09-701SM251485T3null60cm;<DL;34.243;72.965;450.727;17.484;
BOB_05-702SM251725T1null30cm;inv Samp;inv Samp;inv Samp;inv Samp;inv Samp;
BOB_05-702SM251725T1ueblich60cm;<DL;6.176;135.366;545.154;44.024;
BOB_06-702SM251725T1empfohlen30cm;inv Samp;inv Samp;inv Samp;inv Samp;inv Samp;
BOB_06-702SM251725T1null60cm;<DL;90.209;411.716;558.644;55.742;
BOB_09-702SM251725T1empfohlen60cm;<DL;76.178;132.988;556.287;44.751;
BOB_09-702SM251725T1ueblich30cm;<DL;21.015;605.899;1.304.245;107.929;
BOB_05-702SM251725T2null30cm;<DL;177.115;497.342;895.919;65.501;
BOB_05-702SM251725T2ueblich60cm;<DL;56.635;193.609;668.092;46.715;
BOB_06-702SM251725T2empfohlen30cm;<DL;181.438;578.676;869.434;112.842;
BOB_06-702SM251725T2null60cm;<DL;66.002;218.521;480.613;49.416;
BOB_09-702SM251725T2empfohlen60cm;<DL;83.216;303.166;530.017;54.469;
BOB_09-702SM251725T2ueblich30cm;<DL;122.507;329.837;759.465;249.969;
BOB_05-702SM251725T3null30cm;<DL;112.392;324.967;928.174;85.324;
BOB_05-702SM251725T3ueblich60cm;<DL;42.604;90.745;331.974;26.224;
BOB_06-702SM251725T3empfohlen30cm;<DL;153.001;503.106;1.201.985;71.268;
BOB_06-702SM251725T3null60cm;<DL;63.468;150.533;431.568;26.718;
BOB_09-702SM251725T3empfohlen60cm;<DL;61.074;154.839;638.802;83.311;
BOB_09-702SM251725T3ueblich30cm;<DL;128.521;27.603;993.067;64.362;
