project_sample_id;LEU (pmol min-1);GLA (pmol min-1);GLS  (pmol min-1);PHO (pmol min-1);XYL (pmol min-1);
BOB_06- 714km251148T1ueblich30cm;141.306;58.645;303.867;495.228;6.007;
BOB_06-714KM251148T1empfohlen60cm;<DL;64.156;195.575;418.757;3.074;
BOB_09-714KM251148T1null30cm;138.355;77.257;402.916;647.299;27.844;
BOB_09-714KM251148T1null60cm;92.867;36.885;206.135;535.988;3.575;
BOB_05-714KM251148T2null30cm;21.445;96.809;300.492;528.728;77.817;
BOB_05-714KM251148T2ueblich60cm;<DL;33.227;65.023;319.578;30.073;
BOB_06-714KM251148T2empfohlen30cm;130.909;55.498;362.541;537.043;88.654;
BOB_06-714KM251148T2null60cm;<DL;<DL;<DL;320.614;18.661;
BOB_09-714KM251148T2empfohlen60cm;<DL;20.781;100.669;44.816;1.014;
BOB_09-714KM251148T2ueblich30cm;141.984;67.565;246.706;502.386;65.563;
BOB_05-714KM251148T3empfohlen60cm;87.322;48.316;114.882;372.226;28.944;
BOB_05-714KM251148T3ueblich60cm;<DL;<DL;112.972;415.137;15.491;
BOB_06-714KM251148T3empfohlen30cm;108.944;86.808;468.001;676.504;113.982;
BOB_06-714KM251148T3ueblich30cm;<DL;144.967;317.674;460.063;29.323;
BOB_09-714KM251148T3null30cm;225.615;90.132;447.802;534.529;6.158;
BOB_09-714KM251148T3null60cm;<DL;46.577;158.526;297.795;67.624;
BOB_05-715SM258046T1empfohlen30cm;<DL;49.089;211.913;458.704;3.885;
BOB_05-715SM258046T1ueblich30cm;113.471;69.852;160.503;338.444;58.425;
BOB_06-715SM258046T1null30cm;<DL;53.431;160.926;358.726;47.548;
BOB_06-715SM258046T1ueblich60cm;<DL;2.585;98.009;272.084;22.069;
BOB_09-715SM258046T1empfohlen60cm;<DL;<DL;53.314;518.718;13.181;
BOB_09-715SM258046T1null60cm;118.416;3.912;91.657;44.024;39.608;
BOB_05-715SM258046T2null30cm;123.882;43.924;156.303;467.985;45.037;
BOB_05-715SM258046T2ueblich60cm;77.427;20.972;64.607;401.178;23.873;
BOB_06-715SM258046T2empfohlen30cm;120.682;55.772;215.727;547.151;52.216;
BOB_06-715SM258046T2null60cm;<DL;21.497;44.205;286.759;21.282;
BOB_09-715SM258046T2empfohlen60cm;<DL;30.933;65.037;400.557;25.676;
BOB_09-715SM258046T2ueblich30cm;88.012;44.225;178.619;408.604;46.455;
BOB_05- 715SM258046T3null30cm;<DL;39.609;98.164;51.658;50.109;
BOB_05-715SM258046T3empfohlen60cm;<DL;<DL;30.193;122.498;14.106;
BOB_05-715SM258046T3null30cm;<DL;27.488;101.371;498.688;32.592;
BOB_05-715SM258046T3ueblich30cm;161.088;41.243;6.266;272.825;40.857;
BOB_06- 715SM258046T3empfohlen30cm;<DL;28.683;58.565;53.182;19.981;
BOB_06- 715SM258046T3ueblich60cm;<DL;51.169;93.318;443.977;36.866;
BOB_06-715SM258046T3empfohlen60cm;148.462;26.514;51.012;194.852;27.429;
BOB_06-715SM258046T3null60cm;<DL;<DL;28.069;472.764;34.544;
BOB_09- 715SM258046T3null60cm;<DL;4.229;55.907;290.666;26.604;
BOB_09- 715SM258046T3ueblich30cm;<DL;<DL;75.247;431.998;23.943;
BOB_09-715SM258046T3null30cm;<DL;<DL;36.686;26. Aug;<DL;
BOB_09-715SM258046T3ueblich60cm;<DL;51.048;54.727;80.575;49.466;
