id_lysi,date,veg_coverage
1,2025-08-20,0.167576281428231
2,2025-08-20,0.0844625628778204
3,2025-08-20,0.09701822015865721
4,2025-08-20,0.0382564782938155
5,2025-08-20,0.09547293111615873
6,2025-08-20,0.07543248481979557
7,2025-08-20,0.09905737394745989
8,2025-08-20,0.022194226520184258
9,2025-08-20,0.13019713844517852
10,2025-08-20,0.07382144295242947
11,2025-08-20,0.1734911553936412
12,2025-08-20,0.16056692485021432
13,2025-08-20,0.23223571930709055
14,2025-08-20,0.08895629644363522
15,2025-08-20,0.09219633123561512
16,2025-08-20,0.11263222966896458
17,2025-08-20,0.14674185213167493
18,2025-08-20,0.08855421826472791
19,2025-08-20,0.14245423227052914
20,2025-08-20,0.09415111426957169
21,2025-08-20,0.09365976207155004
22,2025-08-20,0.06426756392636497
23,2025-08-20,0.09236169195580715
24,2025-08-20,0.03635186405493461
25,2025-08-20,0.10096949946694697
26,2025-08-20,0.04645667476844665
27,2025-08-20,0.14177398450577905
28,2025-08-20,0.10281034414882993
29,2025-08-20,0.11473401682872317
30,2025-08-20,0.06210502710048686
31,2025-08-20,0.10794160315327352
32,2025-08-20,0.0912599294752937
1,2025-08-27,0.42149287997510093
2,2025-08-27,0.27479164339719164
3,2025-08-27,0.22360638457026272
4,2025-08-27,0.07865900343743829
5,2025-08-27,0.25273538892406666
6,2025-08-27,0.2170642489423831
7,2025-08-27,0.23047474480785962
8,2025-08-27,0.041074365340453965
9,2025-08-27,0.42078114579208153
10,2025-08-27,0.1544081151697986
11,2025-08-27,0.4543075182804418
12,2025-08-27,0.426752892591963
13,2025-08-27,0.5220848559969796
14,2025-08-27,0.22579136360325322
15,2025-08-27,0.17448241993671995
16,2025-08-27,0.24787303098987923
17,2025-08-27,0.26631365345928454
18,2025-08-27,0.21621965373339633
19,2025-08-27,0.34656194765513404
20,2025-08-27,0.28292991857374555
21,2025-08-27,0.15898723962032826
22,2025-08-27,0.1699361931024464
23,2025-08-27,0.1933440909808089
24,2025-08-27,0.039461823753242614
25,2025-08-27,0.23950599142832152
26,2025-08-27,0.08850348561869467
27,2025-08-27,0.38276512794696593
