id_fertilizer,TS,Ntot_TS,Ntot_FS,NH4_N_TS,NH4_N_FS,Corg,C:N
1,2.7,53.4,1.43,26.9,0.72,346.2,6.48
2,4.4,28.3,1.23,28.3,0.66,331.9,7.74
