id_lysi,date,N2O_flux,CO2_flux,CH4_flux,r2_N2O,r2_CO2,r2_CH4,chamber_size,nr_bags
1,2025-03-11,1.1571682051943e-4,-0.391414106049003,1.5958748979268e-4,0.207629095390475,0.733369910618684,0.909772552193535,small,4
2,2025-03-11,1.1100574327321e-4,0.846208676216617,8.26396809018112e-5,0.180977158684498,0.704729193083674,0.624035069882064,small,4
3,2025-03-11,-2.63565808907451e-5,-0.555088591779055,1.1442973735538e-4,0.0339511205075863,0.936649644404993,0.976507325549789,small,4
4,2025-03-11,-9.30185524075741e-5,0.736461798120223,2.5005930961957e-4,0.737532117644257,0.26845159691338,0.667914060598777,small,4
5,2025-03-11,-3.8186132651141e-6,-0.530236039831862,2.25782803751192e-5,3.0695751008797e-4,0.72642883366015,0.907881272918362,small,4
6,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-03-11,4.67722143650118e-5,6.03414336235303,-0.00211622674073164,0.254339620853247,0.960164840142426,0.811184108224627,small,4
9,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-03-11,-6.54955963945595e-5,5.54078236677659,-0.0022869370670103,0.203093640698798,0.990576554210403,0.97606086675458,small,4
11,2025-03-11,7.2814395124754e-4,5.44663590116623,0.00254227126508137,0.82392242790643,0.97697018170105,0.501748754007449,small,4
12,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
13,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
14,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
15,2025-03-11,-1.7002512750217e-4,5.13477174987451,-0.00315874653252233,0.338403238597552,0.918883390796019,0.943410217381521,small,4
16,2025-03-11,1.2117070008097e-4,8.40034105176265,-0.00264485625386391,0.190181210442878,0.998737907296751,0.841576615020126,small,4
17,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
18,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
19,2025-03-11,0.00154777198453366,12.1421423140745,-0.00658768059467925,1,1,1,small,4
20,2025-03-11,-6.74512744156738e-5,6.32281703637408,-0.00156112647551079,0.0324840952751281,0.997475131013952,0.992014989671506,small,4
21,2025-03-11,7.11670168566029e-5,11.0556254662546,-0.00187305467328914,0.119762684330855,0.999392891641104,0.983963743685017,small,4
22,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
23,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
24,2025-03-11,9.06399164094474e-5,5.3393006841198,-0.00210120425075872,0.183864968998025,0.987164644495323,0.998458900715082,small,4
25,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
26,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
27,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
28,2025-03-11,6.3547310508545e-4,3.60963313735779,-0.00230793878875204,0.863281787212553,0.993188007576056,0.977320080414945,small,4
29,2025-03-11,8.2892349609215e-4,8.92535871378569,-0.0014904536379756,0.858785416800703,0.99214658996447,0.706958761634766,small,4
30,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
31,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
32,2025-03-11,NA,NA,NA,NA,NA,NA,NA,NA
1,2025-03-13,-1.2976032869926e-4,-1.21519426906102,-7.8442898631742e-4,0.909310138796874,0.714950942341946,0.994758818467512,small,4
2,2025-03-13,-1.3311261989562e-4,-0.390144984561275,-8.0807221529759e-4,0.377744893011929,0.914110240225019,0.998636488323881,small,4
3,2025-03-13,3.0701412949609e-4,-0.662931661931328,-6.0245107372021e-4,0.916738349775668,0.969643178950107,0.99993336871805,small,4
4,2025-03-13,4.41108652509185e-5,3.87765711280475,-7.0746382794231e-4,0.080666533162139,0.865249880273049,0.975020809203894,small,4
5,2025-03-13,-4.93740323637966e-5,0.225355371469692,-4.6223950533592e-4,0.127050029256248,0.0594228382719126,0.978618965856674,small,4
6,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
9,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
11,2025-03-13,0.00637535073902757,18.9127323863413,0.0378140263534871,0.991266247176039,0.994352585154481,0.994967651460113,small,4
12,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
13,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
14,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
15,2025-03-13,9.3926142190933e-4,4.8714054691951,0.00122957427001381,0.998913870412392,0.855056355390235,0.941418621980683,small,4
16,2025-03-13,9.7811951957058e-4,5.48419204149078,0.00136690330597652,0.812244112064982,0.852356101592583,0.671955538198557,small,4
17,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
18,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
19,2025-03-13,0.0029006666665983,16.771418656374202,0.04087336537261415,0.9981273987699764,0.9992800334055096,0.9986766882059166,small,4
20,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
21,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
22,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
23,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
24,2025-03-13,0.00155644057286588,9.6965641140227,0.03386018313148045,0.9480027382670936,0.9764886378369704,0.988839953258015,small,4
25,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
26,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
27,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
28,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
29,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
30,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
31,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
32,2025-03-13,NA,NA,NA,NA,NA,NA,NA,NA
1,2025-03-14,-5.5907559948103e-4,-0.994135456838376,-0.0135709881647436,0.171413199435349,0.0107490472742902,0.597075161247797,small,4
2,2025-03-14,-0.00107965222924628,-9.39876373923263,8.9426855633099e-4,0.563326292975326,0.431351372581139,0.650568744501706,small,4
3,2025-03-14,1.371397628222e-4,-1.11345289143588,1.2052975288997e-4,0.517766116336878,0.343292927314194,0.977380949761808,small,4
4,2025-03-14,3.2627287181569e-4,0.144747526197743,-0.00213087076439445,0.734280694606791,0.00354861314458447,0.830839146092011,small,4
5,2025-03-14,0.00229029674443955,4.66540349009627,0.0220884846729975,0.998160883815757,0.498586069004107,0.99743104602576,small,4
6,2025-03-14,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-03-14,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-03-14,NA,NA,NA,NA,NA,NA,NA,NA
9,2025-03-14,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-03-14,1.2906683358455e-4,3.71797934098018,-0.00130481498143631,0.78331954203535,0.995960284405675,0.996913983371476,small,4
11,2025-03-14,0.00216026590360143,10.4850764687536,0.0213477084643557,0.988107328158031,0.916260896393063,0.923957279544828,small,4
12,2025-03-14,NA,NA,NA,NA,NA,NA,NA,NA
13,2025-03-14,NA,NA,NA,NA,NA,NA,NA,NA
14,2025-03-14,NA,NA,NA,NA,NA,NA,NA,NA
15,2025-03-14,9.5447238431337e-4,8.71800488001925,6.6424463781174e-4,0.8471343335332,0.999044093905199,0.757429356032712,small,4
