UID,Versuchsjahr,ParzNrFeld,Probe,Datum,LAP,NAG,GLS,MUP,MUX,Comments,NH4,NO3,S,Plot_Label,WiederholungNr,Kultur,Verfahren,Total_Ertrag_HP_TS_kg_a,Total_N_Entzug_kg_ha,Total_P_Entzug_kg_ha,Total_OS_Prod_kg_ha
2025_12,2025,12,A,2025-07-10,0,4.9333,13.1956,27.164,2.1627,NA,0.05,0.75,NA,NA,NA,NA,Null,NA,NA,NA,NA
2025_12,2025,12,A,2025-06-12,0,4.491,11.4734,32.2861,1.7765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025_12,2025,12,B,2025-08-07,0,7.8078,18.5388,69.4245,3.4347,NA,0.01,0.13,NA,NA,NA,NA,Null,NA,NA,NA,NA
2025_13,2025,13,A,2025-09-11,5.951,10.0913,27.1563,88.2026,15.7574,NA,0.4,0.28,NA,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_13,2025,13,A,2025-07-10,0,6.5194,15.2819,58.9667,3.7946,NA,0.12,0.5,NA,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_15,2025,15,A,2025-08-07,0,5.5519,14.1056,34.0533,2.1764,NA,3.02,3.06,NA,NA,NA,NA,NPK,NA,NA,NA,NA
2025_15,2025,15,B,2025-09-11,0,9.2324,37.1908,74.7561,17.2861,NA,0.07,0.2,NA,NA,NA,NA,NPK,NA,NA,NA,NA
2025_15,2025,15,B,2025-07-10,0,3.2289,15.1471,56.9261,2.3049,NA,0.65,2.54,NA,NA,NA,NA,NPK,NA,NA,NA,NA
2025_15,2025,15,B,2025-06-12,0,5.3582,21.9963,42.4333,2.5302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025_16,2025,16,A,2025-06-12,0,5.4844,14.8629,38.3039,4.0267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025_16,2025,16,B,2025-05-15,0,4.3641,10.7008,29.0198,3.1597,NA,0.13,1.74,0.4,NA,NA,NA,"R,gülle",NA,NA,NA,NA
2025_1,2025,1,A,2025-08-07,7.4839,5.9105,21.3853,65.613,2.7171,NA,0,0.5,NA,NA,NA,NA,PK,NA,NA,NA,NA
2025_1,2025,1,A,2025-06-12,6.6118,5.6106,17.491,42.818,3.2271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025_1,2025,1,B,2025-09-11,11.4864,10.4064,41.3305,81.2329,15.1203,NA,0.39,0.62,NA,NA,NA,NA,PK,NA,NA,NA,NA
2025_4,2025,4,A,2025-05-15,0.4426,4.3898,8.8216,20.9428,1.2234,NA,0.13,2.82,0.24,NA,NA,NA,Null,NA,NA,NA,NA
2025_5,2025,5,B,2025-07-10,0,6.8154,18.0738,46.2614,5.002,NA,0.06,1.6,NA,NA,NA,NA,"St,mist",NA,NA,NA,NA
2025_5,2025,5,B,2025-06-12,5.635,5.2623,22.5898,47.1518,3.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
