project_sample_id;LAP;NAG;GLS;MUP;MUX;Comments
BOB_06-DEMO_8A_R.guelle_07.08.2025;-7.5471;4.5338;17.2458;73.9532;3.9235; Well E2_NAG is contaminated.
BOB_06-DEMO_8A_R.guelle_15.05.2025;-4.1978;2.0321;7.8086;26.5731;1.5922;
BOB_06-DEMO_8B_R.guelle;7.6982;8.1456;39.6886;89.5886;14.5172;
BOB_06-DEMO_8B_r.guelle_10.07.2025;6.493;6.728;15.1235;45.8044;5.4494;
BOB_06-DEMO_8B_R.guelle_15.5.25;-9.592;4.2567;15.6643;52.4517;2.838;
BOB_06-DEMO_9A_PK;21.4407;10.1751;23.5378;55.8797;11.8842;
BOB_06-DEMO_9B_PK;14.8783;6.8938;26.4802;69.8383;11.6774;
BOB_06-DEMO_9B_PK_10.07.2025;8.922;5.9207;9.8275;66.3975;2.6484;
BOB_06-DEMO_9B_PK_12.06.2025;9.177;3.4257;15.2156;39.8951;2.1643;
BOB_06-Demo_9B_PK_15.5.25;-3.1714;1.9081;10.5655;22.7724;2.8255;
BOB_09-DEMO_12B_Null_10.07.2025;-12.4389;4.9244;15.7854;40.9088;2.2088;
BOB_09-DEMO_13A_St.mist_07.08.2025;-12.2072;7.4247;13.1707;44.7391;2.4673;
BOB_09-DEMO_13A_St.mist_15.05.2025;-3.4393;4.2953;16.9161;57.8241;3.0476;
BOB_09-DEMO_13B_St.Mist;5.6556;9.5001;31.5641;89.8099;15.4049;
BOB_09-DEMO_13B_St.mist_07.08.2025;-3.1134;6.8318;21.2951;75.4369;6.93;
BOB_09-DEMO_13B_St.mist_10.07.2025;-12.9706;2.0654;8.5395;50.9128;1.9996;
BOB_09-DEMO_13B_St.mist_12.06.2025;1.5324;4.4244;20.1468;51.3947;6.0289; Well D2_NAG is contaminated.
BOB_09-DEMO_15A_NPK;-9.6001;24.9364;47.0381;79.4154;17.5863;
BOB_09-DEMO_15A_NPK_12.06.2025;-9.3009;7.9393;25.6497;34.0215;2.8416;
BOB_09-DEMO_15A_NPK_15.5.25;-10.6639;4.2676;24.1764;30.1728;2.4477;
BOB_09-DEMO_16A_R.guelle_10.07.2025;2.0015;6.9435;10.1965;59.7771;7.042;
BOB_09-DEMO_16B_R.guelle_07.08.2025;-8.2633;4.6488;19.8356;42.3245;4.1699;
BOB_09-DEMO_1A_PK;30.3163;8.9312;30.4617;68.6878;14.3401;
BOB_09-DEMO_1A_PK_10.07.2025;12.6199;5.9156;14.7776;50.1296;6.7816;
BOB_09-DEMO_1A_PK_15.05.2025;3.5939;3.7058;16.5339;60.4118;1.9011;
BOB_09-DEMO_1B_PK_10.07.2025;-6.2333;2.7732;9.469;46.7766;1.528;
BOB_09-DEMO_1B_PK_15.05.2025;7.1596;5.1496;20.2507;66.4168;3.3167;
BOB_09-DEMO_4A_Null;16.1973;5.746;19.7179;69.0209;12.4721;
